,item,price,url
24,[무배] 메라니 세일러카라 스트링 집업 바람막이 자켓,"36,800원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
25,르마스크 팔레트 지퍼 동전 카드 명함 가죽 지갑 (4컬러),"59,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
26,[무배] 네로 미니 지퍼 파우치 동전 카드지갑 5color,"11,900원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
27,[무배] 소가죽 반달 카드지갑,"14,700원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
28,(1+1 할인) 컬러풀 슬림 지퍼 소가죽 카드지갑,"8,500원3,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
29,7컬러 소가죽 지퍼 카드지갑 아코디언 여자 명함보관,"16,900원3,000원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
30,NEW 헤라 센슈얼 파우더 매트 립스틱 3g,"36,000원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
31,잘 안지워지는 지워지지 않는 립스틱 코랄 말린장미 봄 여름 가을 겨울 웜톤 쿨톤 매트,"8,800원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
32,[오늘출발] 3CE 소프트 매트 립스틱 3.5g,"15,200원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
33,에스쁘아 더슬릭 립스틱 크림매트 0.9g,"23,400원무료",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
34,캐트리스 비건 콜라겐 매트 립스틱 3.8g (5 Color),"10,200원",https://search.shopping.naver.com/best/home?categoryCategoryId=ALL&categoryDemo=A00&categoryRootCategoryId=ALL&chartDemo=A00&chartRank=1&period=P1D&windowCategoryId=20000002&windowDemo=A00&windowRootCategoryId=20000002#
